PULocationID,passenger_count,num
172,4,2
172,2,7
172,1,30
173,4,49
173,1,2489
173,2,486
173,6,107
173,5,175
173,3,131
174,2,132
174,4,14
174,5,29
174,1,585
174,3,45
174,6,28
175,5,1
175,1,213
175,2,76
175,3,5
175,6,8
175,4,5
176,5,1
176,1,20
176,2,5
176,6,1
177,4,39
177,6,52
177,3,84
177,1,1616
177,5,82
177,2,305
178,4,8
178,6,18
178,3,32
178,2,135
178,5,26
178,1,1110
179,1,44608
179,2,7034
179,3,1889
179,5,2756
179,6,1726
179,4,850
180,2,94
180,5,26
180,4,18
180,1,567
180,6,16
180,3,36
181,5,4848
181,4,1882
181,2,15963
181,1,77606
181,6,2835
181,3,4214
182,2,116
182,4,9
182,3,32
182,1,715
182,6,63
182,5,51
183,4,1
183,6,4
183,2,12
183,5,6
183,1,121
183,3,4
184,1,56
184,6,1
184,5,3
184,3,2
184,2,7
185,5,29
185,2,94
185,3,19
185,4,10
185,6,11
185,1,443
186,2,458504
186,4,66171
186,5,141958
186,6,90964
186,1,2376968
186,3,134064
187,5,3
187,1,20
187,4,2
187,2,2
187,3,7
188,1,8728
188,5,333
188,2,1374
188,3,418
188,6,231
188,4,185
189,5,1192
189,2,3894
189,3,1078
189,6,699
189,1,19848
189,4,451
190,1,3314
190,2,771
190,6,107
190,4,119
190,3,187
190,5,184
191,1,543
191,3,26
191,2,98
191,4,11
191,6,16
191,5,25
192,6,18
192,5,98
192,4,9
192,3,34
192,1,643
192,2,139
193,2,5143
193,6,1054
193,3,1404
193,4,563
193,1,36559
193,5,1862
194,1,4042
194,3,232
194,6,152
194,5,299
194,2,933
194,4,145
195,4,151
195,2,1061
195,1,4006
195,5,300
195,6,176
195,3,318
196,4,124
196,6,225
196,1,5368
196,5,335
196,2,1048
196,3,248
197,6,61
197,2,500
197,4,54
197,1,2451
197,3,108
197,5,134
198,3,109
198,6,94
198,1,2274
198,5,151
198,4,47
198,2,376
199,1,7
199,2,3
200,2,84
200,1,520
200,6,37
200,3,25
200,5,17
200,4,15
201,4,2
201,1,80
201,6,2
201,5,7
201,2,5
201,3,2
202,3,157
202,6,136
202,4,74
202,5,201
202,1,3179
202,2,595
203,1,359
203,5,15
203,2,57
203,3,22
203,4,10
203,6,24
204,6,1
204,5,1
204,1,21
204,2,1
205,5,22
205,4,8
205,2,51
205,3,14
205,1,320
205,6,34
206,6,3
206,3,4
206,5,4
206,1,51
206,4,5
206,2,5
207,6,65
207,3,66
207,1,3838
207,2,456
207,4,31
207,5,415
208,2,77
208,1,418
208,6,30
208,5,27
208,4,16
208,3,24
209,5,9358
209,2,28483
209,1,128289
209,3,8543
209,6,6250
209,4,4439
210,2,86
210,1,454
210,3,21
210,4,4
210,6,12
210,5,34
211,1,542466
211,3,36352
211,6,23294
211,5,37783
211,4,17724
211,2,126150
212,3,35
212,6,64
212,4,19
212,2,140
212,5,74
212,1,781
213,6,42
213,4,33
213,1,742
213,2,158
213,3,54
213,5,95
214,3,1
214,4,1
214,6,2
214,2,32
214,5,4
214,1,46
215,6,210
215,2,1128
215,3,273
215,4,178
215,1,4579
215,5,294
216,6,163
